time(ms);MISFIRE;CATEMP11(°C);CATEMP21(°C);ECT(°C);TFTV(V);RPM(1/min);O2S12(V);O2S22(V)
0;No;-;-;-;-;-;-;-
0;No;490;-;-;-;-;-;-
32;No;490;490;-;-;-;-;-
60;No;490;490;91;-;-;-;-
91;No;490;490;91;1.63;-;-;-
123;No;490;490;91;1.63;1106;-;-
152;No;490;490;91;1.63;1096;0.53;-
182;No;490;490;92;1.63;1086;0.53;0.67
213;No;490;490;92;1.63;1076;0.53;0.68
244;No;490;490;92;1.63;1066;0.53;0.70
300;No;490;490;92;1.63;1057;0.53;0.71
331;No;490;490;92;1.63;1047;0.53;0.72
405;No;490;490;92;1.63;1037;0.53;0.74
674;No;490;490;92;1.63;1027;0.53;0.75
876;No;490;490;92;1.63;1052;0.53;0.76
1048;No;489;489;92;1.63;1076;0.54;0.78
1217;No;489;489;92;1.63;1100;0.56;0.78
1486;No;489;489;92;1.63;1124;0.57;0.77
1667;No;489;489;92;1.63;1149;0.58;0.77
1834;No;489;489;92;1.64;1173;0.60;0.77
2002;No;489;489;92;1.64;1197;0.61;0.77
2170;No;489;489;92;1.64;1222;0.63;0.77
2467;No;489;489;92;1.64;1212;0.64;0.76
2634;No;488;488;92;1.64;1203;0.63;0.76
2809;No;488;488;91;1.64;1193;0.62;0.74
2977;No;488;488;91;1.64;1184;0.62;0.73
3180;No;488;488;91;1.64;1174;0.61;0.71
3352;No;489;488;91;1.64;1165;0.60;0.69
3522;No;489;489;91;1.64;1156;0.59;0.67
3691;No;489;489;91;1.64;1146;0.58;0.65
3892;No;489;489;91;1.63;1146;0.57;0.63
4127;No;489;489;91;1.63;1146;0.56;0.62
4400;No;490;490;91;1.63;1146;0.54;0.61
4568;No;490;490;91;1.63;1147;0.52;0.61
4738;No;490;490;91;1.63;1147;0.50;0.60
4945;No;490;490;91;1.63;1147;0.49;0.59
5117;No;491;491;91;1.63;1147;0.47;0.59
5349;No;491;491;91;1.63;1148;0.45;0.58
5528;No;492;491;91;1.62;1148;0.44;0.58
5695;No;492;492;91;1.62;1149;0.43;0.57
5933;No;492;492;90;1.62;1150;0.43;0.57
6131;No;493;492;90;1.62;1150;0.42;0.56
6211;No;493;493;90;1.62;1151;0.42;0.55
6240;No;493;493;90;1.62;1152;0.41;0.55
6273;No;493;493;90;1.62;1152;0.41;0.54
6301;No;493;493;90;1.62;1153;0.41;0.54
6334;No;493;493;90;1.62;1154;0.40;0.53
6364;No;493;493;90;1.62;1155;0.41;0.52
6392;No;493;493;90;1.62;1156;0.42;0.53
6423;No;493;493;90;1.62;1157;0.43;0.54
6454;No;493;493;90;1.62;1158;0.45;0.55
6513;No;493;493;90;1.62;1159;0.46;0.56
6539;No;493;494;90;1.62;1160;0.47;0.57
6573;No;494;494;90;1.62;1161;0.48;0.58
6602;No;494;494;90;1.62;1160;0.49;0.58
6633;No;494;494;90;1.62;1160;0.49;0.59
6669;No;494;494;90;1.62;1159;0.49;0.59
6694;No;494;494;90;1.62;1159;0.49;0.59
6724;No;494;494;90;1.62;1158;0.49;0.60
6756;No;494;494;90;1.63;1158;0.49;0.60
6813;No;494;494;90;1.63;1157;0.49;0.60
6844;No;494;494;90;1.63;1156;0.49;0.60
6875;No;494;494;90;1.62;1156;0.48;0.60
6903;No;495;494;90;1.62;1156;0.48;0.60
6939;No;495;495;90;1.62;1156;0.47;0.59
6962;No;495;495;90;1.62;1156;0.46;0.58
6994;No;495;495;90;1.62;1156;0.46;0.56
7023;No;495;495;90;1.62;1157;0.45;0.55
7056;No;495;495;90;1.62;1157;0.44;0.54
7114;No;495;495;90;1.62;1157;0.43;0.52
7142;No;495;495;90;1.62;1158;0.43;0.51
7174;No;495;495;90;1.62;1160;0.43;0.50
7204;No;495;496;90;1.62;1161;0.44;0.51
7234;No;495;496;90;1.62;1162;0.44;0.52
7261;No;496;496;90;1.62;1164;0.45;0.52
7291;No;496;496;90;1.63;1165;0.46;0.53
7323;No;496;496;90;1.63;1166;0.46;0.54
7351;No;496;496;90;1.63;1168;0.47;0.55
7415;No;496;496;90;1.62;1168;0.47;0.56
7440;No;496;496;90;1.62;1167;0.48;0.57
7472;No;496;496;90;1.62;1167;0.48;0.57
7501;No;496;496;90;1.62;1167;0.49;0.58
7533;No;496;496;90;1.62;1167;0.49;0.59
7562;No;497;496;90;1.62;1167;0.50;0.59
7593;No;497;497;90;1.62;1167;0.50;0.60
7622;No;497;497;90;1.62;1167;0.51;0.60
7652;No;497;497;90;1.62;1167;0.51;0.61
7716;No;497;497;90;1.61;1168;0.51;0.62
7740;No;497;497;90;1.61;1168;0.51;0.62
7775;No;498;497;90;1.61;1169;0.51;0.61
7800;No;498;498;90;1.61;1169;0.50;0.61
7834;No;498;498;90;1.60;1170;0.50;0.61
7862;No;498;498;90;1.60;1170;0.50;0.61
7892;No;498;498;90;1.60;1171;0.50;0.61
7925;No;498;498;90;1.60;1172;0.49;0.61
7997;No;498;498;90;1.59;1174;0.49;0.61
8039;No;498;498;90;1.59;1176;0.49;0.60
8075;No;499;498;90;1.59;1178;0.49;0.60
8100;No;499;499;90;1.59;1179;0.48;0.60
8134;No;499;499;90;1.58;1181;0.48;0.59
8163;No;499;499;90;1.58;1182;0.48;0.59
8192;No;499;499;90;1.58;1184;0.48;0.58
8223;No;499;499;90;1.58;1184;0.47;0.58
8254;No;500;499;90;1.58;1184;0.49;0.58
8313;No;500;500;90;1.58;1184;0.50;0.58
8342;No;500;500;90;1.58;1184;0.51;0.59
8372;No;500;500;90;1.58;1185;0.52;0.60
8402;No;500;500;90;1.57;1185;0.53;0.60
