time(ms);MISFIRE;CATEMP11(°C);CATEMP21(°C);ECT(°C);RPM(1/min);O2S12(V);O2S22(V);MISFIRE_MON;MFF_LOAD(%);MFF_THR_ANG(%);MISF_EVAL;KNK_CNTR_CYL1( );KNK_CNTR_CYL2( );KNK_CNTR_CYL3( );KNK_CNTR_CYL4( );KNK_CNTR_CYL5( );KNK_CNTR_CYL6( )
0;No;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
0;No;570;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
28;No;570;570;-;-;-;-;-;-;-;-;-;-;-;-;-;-
55;No;570;570;92;-;-;-;-;-;-;-;-;-;-;-;-;-
88;No;570;570;92;1193;-;-;-;-;-;-;-;-;-;-;-;-
116;No;570;570;92;1189;0.09;-;-;-;-;-;-;-;-;-;-;-
148;No;570;570;92;1184;0.09;0.62;-;-;-;-;-;-;-;-;-;-
176;No;570;570;92;1180;0.09;0.62;Disabled;-;-;-;-;-;-;-;-;-
209;No;570;570;92;1176;0.09;0.62;Disabled;66.38;-;-;-;-;-;-;-;-
266;No;570;570;92;1171;0.09;0.62;Disabled;66.38;21.92;-;-;-;-;-;-;-
297;No;570;570;92;1166;0.09;0.62;Disabled;66.38;21.92;Yes;-;-;-;-;-;-
325;No;570;570;92;1162;0.09;0.62;Disabled;66.38;21.92;Yes;0;-;-;-;-;-
355;No;570;570;92;1158;0.09;0.62;Disabled;66.38;21.92;Yes;0;0;-;-;-;-
385;No;570;570;92;1153;0.10;0.62;Disabled;66.38;21.92;Yes;0;0;0;-;-;-
416;No;569;569;92;1149;0.10;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;-;-
447;No;569;569;92;1144;0.10;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;-
478;No;569;569;92;1140;0.10;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
507;No;569;569;92;1136;0.10;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
565;No;569;569;92;1131;0.10;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
599;No;569;569;92;1127;0.10;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
626;No;569;569;92;1122;0.10;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
659;No;569;569;92;1118;0.10;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
698;No;569;569;92;1120;0.10;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
718;No;569;569;92;1124;0.10;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
745;No;569;569;92;1126;0.11;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
776;No;569;569;92;1129;0.11;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
805;No;569;569;92;1132;0.11;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
866;No;569;569;92;1135;0.11;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
898;No;569;569;92;1138;0.11;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
927;No;569;569;92;1141;0.11;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
957;No;569;569;92;1144;0.11;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
985;No;569;569;92;1146;0.11;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1016;No;569;569;92;1149;0.12;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1046;No;569;569;92;1152;0.12;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1079;No;569;569;92;1155;0.12;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1106;No;569;568;92;1158;0.12;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1166;No;569;568;92;1161;0.12;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1199;No;568;568;92;1164;0.12;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1227;No;568;568;92;1166;0.12;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1257;No;568;568;92;1165;0.12;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1286;No;568;568;92;1164;0.12;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1319;No;568;568;92;1163;0.12;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1348;No;568;568;92;1162;0.12;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1378;No;568;568;92;1160;0.12;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1405;No;568;568;92;1159;0.13;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1466;No;568;568;92;1158;0.13;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1498;No;568;568;92;1157;0.13;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1525;No;568;568;92;1156;0.13;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1558;No;568;568;92;1154;0.13;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1585;No;568;568;92;1153;0.13;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1617;No;568;568;92;1152;0.13;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1646;No;568;568;92;1151;0.13;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1679;No;568;568;92;1150;0.13;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1707;No;568;568;92;1148;0.13;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1768;No;568;568;92;1147;0.13;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1799;No;568;568;92;1146;0.13;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1826;No;568;568;92;1145;0.13;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1856;No;568;568;92;1144;0.12;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1886;No;568;568;92;1144;0.12;0.62;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1918;No;568;568;92;1143;0.11;0.61;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
1948;No;567;568;92;1142;0.10;0.61;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
2005;No;567;567;92;1142;0.10;0.61;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
2067;No;567;567;92;1141;0.09;0.60;Disabled;66.38;21.92;Yes;0;0;0;0;0;0
